source_snapshot_name,case_key,case_label,snapshot_code,wind_code,selected_local_time,equivalent_panel_count,equivalent_cell_size_m,panel_delta_rms_min_C,panel_delta_rms_mean_C,panel_delta_rms_p95_C,panel_delta_rms_max_C,panel_delta_peak_to_peak_mean_C,panel_delta_peak_to_peak_p95_C,panel_delta_peak_to_peak_max_C,panel_temperature_gradient_mean_C_per_m,panel_temperature_gradient_p95_C_per_m,panel_temperature_gradient_max_C_per_m,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panels_delta_rms_ge_0p25_C_count,panels_delta_rms_ge_0p25_C_fraction,panels_delta_rms_ge_0p5_C_count,panels_delta_rms_ge_0p5_C_fraction,panels_delta_rms_ge_1p0_C_count,panels_delta_rms_ge_1p0_C_fraction,panels_delta_rms_ge_2p0_C_count,panels_delta_rms_ge_2p0_C_fraction
transient_snapshot_spring_equinox_morning_v05.csv,spring_equinox,Spring equinox,morning,v05,2026-03-20T08:10:00+04:00,3737,0.783,0.0,0.11369144516895949,0.1468497079402533,3.9295635200400265,0.2894223232942559,0.37915932525290824,11.330214401020498,0.36963259679981597,0.48423924042517014,14.470261048557468,66.76618817354662,237.8217538417338,85,0.022745517795022745,85,0.022745517795022745,81,0.021675140487021675,42,0.01123896173401124
transient_snapshot_spring_equinox_morning_v10.csv,spring_equinox,Spring equinox,morning,v10,2026-03-20T08:10:00+04:00,3737,0.783,0.0,0.10199588930674466,0.12851890147982567,3.6303302262128834,0.2595622006724683,0.334351508220891,10.109024493063597,0.33149706343865687,0.427013420460908,12.91063153647969,66.76618817354662,237.8217538417338,85,0.022745517795022745,84,0.02247792346802248,77,0.020604763179020606,39,0.010436178753010436
transient_snapshot_spring_equinox_peak_v00.csv,spring_equinox,Spring equinox,peak,v00,2026-03-20T13:40:00+04:00,3737,0.783,0.0,0.5612096141896651,1.5218882715529523,6.086528449435304,1.5499349162495704,4.183334150958086,14.187708647433624,1.9794826516597321,5.342700065080569,18.119678987782404,127.5461025960678,237.19516136788337,2937,0.7859245383997859,1394,0.37302649183837305,554,0.14824725715814824,50,0.01337971635001338
transient_snapshot_spring_equinox_peak_v02.csv,spring_equinox,Spring equinox,peak,v02,2026-03-20T11:40:00+04:00,3737,0.783,0.0,0.3421002875784596,1.361669567082386,4.500508596050668,0.9375717509474438,3.5828224122062036,12.924369404127958,1.1974096436110395,4.575762978551984,16.506218906932258,120.71142804882429,237.2651664592977,1198,0.32057800374632056,612,0.16376772812416376,297,0.07947551511907948,57,0.015252876639015252
transient_snapshot_spring_equinox_peak_v05.csv,spring_equinox,Spring equinox,peak,v05,2026-03-20T11:20:00+04:00,3737,0.783,0.0,0.2867578094723966,1.280778743177078,3.8331051584543903,0.7790377387587586,3.334119615073563,9.477948205232337,0.9949396408157836,4.258134885151422,12.104659265941683,117.2760659467725,237.26689293248955,804,0.21514583890821515,507,0.13567032378913568,286,0.07653197752207654,55,0.014717687985014717
transient_snapshot_spring_equinox_peak_v10.csv,spring_equinox,Spring equinox,peak,v10,2026-03-20T11:10:00+04:00,3737,0.783,0.0,0.24242936290267045,1.2252312788709783,3.0074999467966537,0.6524338529589649,3.1045494410809047,8.355673331442741,0.8332488543537228,3.964941814918141,10.671358022276808,115.44048741923412,237.30949518534564,618,0.16537329408616538,402,0.10757291945410757,253,0.0677013647310677,46,0.01230933904201231
transient_snapshot_summer_solstice_axis_v00.csv,summer_solstice,Summer solstice,axis,v00,2026-06-22T13:00:00+04:00,3737,0.783,0.010700563124437054,0.5869228081690476,1.5524617773865244,4.893552811462253,1.601428390269819,3.948956099689843,13.64828242470594,2.045246986296065,5.043366666270553,17.430756608819845,148.93666025806928,237.0705323056532,2985,0.7987690660957988,1643,0.43965747926143967,548,0.14664169119614665,45,0.012041744715012041
transient_snapshot_summer_solstice_axis_v02.csv,summer_solstice,Summer solstice,axis,v02,2026-06-22T13:00:00+04:00,3737,0.783,0.00941524737479214,0.39721742911246577,1.2351401120339622,4.183281693324003,1.0786368782515876,3.112934246511372,12.061309334897942,1.3775694485971743,3.9756503786862987,15.403971053509503,148.93666025806928,237.0705323056532,1949,0.5215413433235215,886,0.2370885737222371,311,0.08322183569708322,25,0.00668985817500669
transient_snapshot_summer_solstice_axis_v05.csv,summer_solstice,Summer solstice,axis,v05,2026-06-22T13:00:00+04:00,3737,0.783,0.01115160962188893,0.33790843351193833,1.159999105105657,3.7861021384647757,0.915166158603511,2.8786044154075956,11.097733542892684,1.1687945831462463,3.676378563738947,14.173350629492571,148.93666025806928,237.0705323056532,1529,0.40915172598340915,704,0.1883864062081884,241,0.0644902328070645,22,0.005887075194005887
transient_snapshot_summer_solstice_axis_v10.csv,summer_solstice,Summer solstice,axis,v10,2026-06-22T13:00:00+04:00,3737,0.783,0.006178685658950874,0.29105479103107407,1.1297424074290743,3.372984832618887,0.7855657023288605,2.6384997943602797,10.051465166833452,1.0032767590406904,3.3697315381357336,12.83712026415511,148.93666025806928,237.0705323056532,1198,0.32057800374632056,574,0.1535991436981536,224,0.05994112924805994,18,0.004816697886004816
