case_key,case_label,time_index,local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,areal_heat_capacity_J_m2_K,visible_points,q_abs_max_W_m2,q_abs_mean_all_W_m2,q_abs_mean_visible_W_m2,surface_temperature_min_C,surface_temperature_mean_C,surface_temperature_max_C,surface_temperature_mean_visible_C,deltaT_air_min_C,deltaT_air_mean_C,deltaT_air_max_C,dT_dt_min_K_s,dT_dt_mean_K_s,dT_dt_max_K_s,net_flux_min_W_m2,net_flux_mean_W_m2,net_flux_max_W_m2
spring_equinox,Spring equinox,40,2026-03-20T06:40:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,41,2026-03-20T06:50:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,42,2026-03-20T07:00:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,43,2026-03-20T07:10:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,44,2026-03-20T07:20:00+04:00,2.0,18.0,5.0,36450.0,36359,237.34914531092727,52.78469109749613,102.60052460005346,16.343400888813903,17.212284692887913,20.250382704631647,18.032298413094622,-1.6565991111860967,-0.7877153071120864,2.2503827046316474,9.746813933609056e-20,0.001448139673456684,0.006511636359696221,3.552713678800501e-15,52.78469109749613,237.34914531092727
spring_equinox,Spring equinox,45,2026-03-20T07:30:00+04:00,2.0,18.0,5.0,36450.0,37659,237.88118883227176,55.752709340855866,104.62867381625394,16.343400888813903,17.953704979271713,23.37219861511909,19.359050878154854,-1.6565991111860967,-0.046295020728291135,5.372198615119089,-0.0013228462585127105,0.0012357004773063255,0.005694307249025755,-48.2177461227883,45.04128239781556,207.55749922698877
spring_equinox,Spring equinox,46,2026-03-20T07:40:00+04:00,2.0,18.0,5.0,36450.0,38891,237.8429101962917,58.5891451414376,106.46860853618624,16.343400888813903,18.59092733458198,25.835996895923245,20.40293437122946,-1.6565991111860967,0.590927334581983,7.835996895923245,-0.0023851269269519076,0.0010620372588504567,0.005717152751209724,-86.93787648739703,38.71125808509914,208.39021778159446
spring_equinox,Spring equinox,47,2026-03-20T07:50:00+04:00,2.0,18.0,5.0,36450.0,40088,237.87221318435394,61.33591321892041,108.13193461686195,16.343400888813903,19.143392455154356,27.78860745014873,21.224654007522698,-1.6565991111860967,1.1433924551543584,9.788607450148731,-0.0032268829465786947,0.0009207752009539594,0.006493048904087032,-117.61988340279342,33.56225607477182,236.67163255397233
spring_equinox,Spring equinox,48,2026-03-20T08:00:00+04:00,2.0,18.0,5.0,36450.0,41219,237.76964363401942,64.02951224512223,109.7832969965192,16.343400888813903,19.627326554327215,29.33150779650208,21.880310973346177,-1.6565991111860967,1.6273265543272157,11.33150779650208,-0.0038961479826058127,0.0008065568319547621,0.005492671712081841,-142.01459396598187,29.39899652475108,200.20788390538308
spring_equinox,Spring equinox,49,2026-03-20T08:10:00+04:00,2.0,18.0,5.0,36450.0,42339,237.8217538417338,66.70592927408171,111.34670491951101,16.343400888813903,20.056332886156955,30.533863171044345,22.401291282981994,-1.6565991111860967,2.056332886156955,12.533863171044345,-0.004426349682145723,0.0007150105530495655,0.006392704605093138,-161.3404459142116,26.062134658656664,233.0140828556449
