panel_id,control_point_id,x_m,y_m,z_m,projected_radius_m,azimuth_deg,normal_x,normal_y,normal_z,clipped_to_aperture
19,PY,1.346392584,-0.987606215,-26.948318333,1.669772148,323.739198877,-0.049866392018,0.036578007955,0.998085864183,false
19,NY,1.346392584,-1.692074687,-26.913270152,2.162380572,308.509447636,-0.049866392018,0.062669432850,0.996787783399,false
20,C,-0.090078880,1.948038834,-26.929482552,1.950120382,92.647516951,0.003336254821,-0.072149586435,0.997388242652,false
20,PX,0.262155356,1.948038834,-26.928357159,1.965599331,82.335525350,-0.009709457626,-0.072149586435,0.997346561437,false
20,NX,-0.442313116,1.948038834,-26.926000516,1.997622635,102.792435781,0.016381967269,-0.072149586435,0.997259278385,false
20,PY,-0.090078880,2.300273070,-26.901684512,2.302036142,92.242561515,0.003336254821,-0.085195298882,0.996358685641,false
20,NY,-0.090078880,1.595804598,-26.952649100,1.598344931,93.230764265,0.003336254821,-0.059103873988,0.998246262945,false
21,C,-1.281096867,-1.535182203,-26.925861294,1.999498332,230.155281001,0.047448032097,0.056858600128,0.997254121998,false
21,PX,-0.928862631,-1.535182203,-26.940312356,1.794316077,238.823947236,0.034402319650,0.056858600128,0.997789346503,false
21,NX,-1.633331103,-1.535182203,-26.906791803,2.241551893,223.225754626,0.060493744544,0.056858600128,0.996547844543,false
21,PY,-1.281096867,-1.182947967,-26.943634219,1.743724484,222.718975602,0.047448032097,0.043812887681,0.997912378480,false
21,NY,-1.281096867,-1.887416440,-26.903465390,2.281129106,235.833031136,0.047448032097,0.069904312575,0.996424644082,false
22,C,2.029398889,0.273052750,-26.922239549,2.047685927,7.663045051,-0.075162921828,-0.010113064825,0.997119983303,false
22,PX,2.381633125,0.273052750,-26.893368436,2.397234688,6.540368516,-0.088208634275,-0.010113064825,0.996050682827,false
22,NX,1.677164653,0.273052750,-26.946475853,1.699246621,9.246976243,-0.062117209380,-0.010113064825,0.998017624202,false
22,PY,2.029398889,0.625286986,-26.916362242,2.123545071,17.124817959,-0.075162921828,-0.023158777272,0.996902305252,false
22,NY,2.029398889,-0.079181486,-26.923507766,2.030943022,357.765611824,-0.075162921828,0.002932647622,0.997166954306,false
23,C,-1.719505574,1.196387192,-26.918617317,2.094765317,145.170809101,0.063685391648,-0.044310636735,0.996985826561,false
23,PX,-1.367271338,1.196387192,-26.938805222,1.816803023,138.813486933,0.050639679201,-0.044310636735,0.997733526731,false
23,NX,-2.071739811,1.196387192,-26.893801365,2.392372913,149.994448645,0.076731104095,-0.044310636735,0.996066717211,false
23,PY,-1.719505574,1.548621428,-26.900651893,2.314071682,137.993161535,0.063685391648,-0.057356349183,0.996320440470,false
23,NY,-1.719505574,0.844152956,-26.931964399,1.915540037,153.852298555,0.063685391648,-0.031264924288,0.997480162910,false
24,C,0.469867826,-2.088609594,-26.914994598,2.140809616,282.678573151,-0.017402512065,0.077355910896,0.996851651763,false
24,PX,0.822102062,-2.088609594,-26.906539320,2.244580548,291.485200442,-0.030448224512,0.077355910896,0.996538493323,false
24,NX,0.117633590,-2.088609594,-26.918838614,2.091919620,273.223577634,-0.004356799617,0.077355910896,0.996994022724,false
24,PY,0.469867826,-1.736375358,-26.940011597,1.798826050,285.141755001,-0.017402512065,0.064310198449,0.997778207293,false
24,NY,0.469867826,-2.440843830,-26.885339976,2.485657735,280.896274108,-0.017402512065,0.090401623343,0.995753332443,false
25,C,1.086779836,1.896575723,-26.911371390,2.185884235,60.186337201,-0.040251105052,-0.070243545314,0.996717458904,false
25,PX,1.439014072,1.896575723,-26.894836661,2.380705983,52.810835859,-0.053296817499,-0.070243545314,0.996105061520,false
25,NX,0.734545600,1.896575723,-26.923288122,2.033852678,68.828566421,-0.027205392604,-0.070243545314,0.997158819324,false
25,PY,1.086779836,2.248809960,-26.884228896,2.497646221,64.206967857,-0.040251105052,-0.083289257761,0.995712181347,false
25,NY,1.086779836,1.544341487,-26.933880503,1.888407012,54.865285576,-0.040251105052,-0.057197832866,0.997551129746,false
