panel_id,x_m,y_m,z_m,projected_radius_m,azimuth_deg,normal_x,normal_y,normal_z,projected_area_m2,equivalent_cell_size_m
3101,20.369634842,13.774981934,-11.150239868,24.590082368,34.068555117,-0.754430920083,-0.510184516066,0.412971846968,0.612686207723,0.782742746835
3102,-24.328723797,3.602828527,-11.141491150,24.594047551,171.576319167,0.901063844315,-0.133438093581,0.412647820361,0.612686207723,0.782742746835
3103,15.508067556,-19.093507789,-11.132735556,24.598012095,309.084083217,-0.574372872457,0.707166955164,0.412323539117,0.612686207723,0.782742746835
3104,1.462548468,24.558464429,-11.123973071,24.601976000,86.591847267,-0.054168461772,-0.909572756617,0.411999002632,0.612686207723,0.782742746835
3105,-17.670288231,-17.123468137,-11.115203678,24.605939267,224.099611317,0.654455119664,0.634202523580,0.411674210306,0.612686207723,0.782742746835
3106,24.600218207,0.690315445,-11.106427361,24.609901895,1.607375367,-0.911119192869,-0.025567238700,0.411349161530,0.612686207723,0.782742746835
3107,-18.608732052,16.110784796,-11.097644104,24.613863885,139.115139418,0.689212298240,-0.596695733186,0.411023855697,0.612686207723,0.782742746835
3108,2.839277993,-24.453544117,-11.088853889,24.617825237,276.622903468,-0.105158444182,0.905686819163,0.410698292196,0.612686207723,0.782742746835
3109,14.426857220,19.952396705,-11.080056701,24.621785953,54.130667518,-0.534328045175,-0.738977655729,0.410372470413,0.612686207723,0.782742746835
3110,-24.119444503,-4.967873231,-11.071252523,24.625746031,191.638431568,0.893312759376,0.183995304837,0.410046389734,0.612686207723,0.782742746835
3111,21.144076980,-12.631326151,-11.062441338,24.629705472,329.146195618,-0.783113962208,0.467826894482,0.409720049539,0.612686207723,0.782742746835
3112,-7.059780659,23.600358319,-11.053623129,24.633664277,106.653959668,0.261473357733,-0.874087345144,0.409393449208,0.612686207723,0.782742746835
3113,-10.737875540,-22.174545513,-11.044797879,24.637622446,244.161723718,0.397699094080,0.821279463430,0.409066588119,0.612686207723,0.782742746835
3114,22.900143365,9.098950365,-11.035965572,24.641579979,21.669487768,-0.848153457967,-0.336998161660,0.408739465645,0.612686207723,0.782742746835
3115,-23.035804132,8.760948349,-11.027126191,24.645536877,159.177251818,0.853177930805,-0.324479568465,0.408412081159,0.612686207723,0.782742746835
3116,11.069726170,-22.024047643,-11.018279719,24.649493140,296.685015868,-0.409989858140,0.815705468245,0.408084434029,0.612686207723,0.782742746835
