rank,case_key,case_label,time_code,selected_local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,convection_h_W_m2_K,q_abs_max_W_m2,q_abs_mean_all_W_m2,surface_temperature_max_C,surface_temperature_mean_C,deltaT_air_max_C,deltaT_air_mean_C,deltaT_air_mean_visible_C,deltaT_aperture_mean_min_C,deltaT_aperture_mean_max_C,max_abs_thermal_balance_residual_W_m2
11,winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,2.0,-5.0,-18.0,10.65685424949238,237.64375573299333,73.88937206676226,13.315308217796089,-0.1913663207069651,18.315308217796087,4.808633679293035,8.27785847226999,-6.134399327432771,13.506674538503052,7.389644451905042e-13
12,winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,2.0,-5.0,-18.0,10.65685424949238,237.42999777423765,99.91224566694264,13.297867557532411,1.9635173210116788,18.297867557532413,6.963517321011678,9.642546034450705,-8.289282969151415,11.334350236520734,7.389644451905042e-13
13,spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,2.0,18.0,5.0,10.65685424949238,237.81145675266828,67.51494650799361,35.40185222502089,21.78198470424863,17.40185222502089,3.781984704248628,7.352003382326731,-5.4385838154347255,13.61986752077226,7.673861546209082e-13
14,spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,2.0,18.0,5.0,10.65685424949238,237.8088524421911,67.49548848360463,35.40164644322954,21.78041968994804,17.401646443229538,3.780419689948036,7.351733551633093,-5.437018801134133,13.6212267532815,7.673861546209082e-13
15,spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,2.0,18.0,5.0,10.65685424949238,237.1977021935532,128.87734005299205,35.35335409219522,26.71043042026909,17.353354092195218,8.710430420269093,10.266994849081003,-10.367029531455188,8.642923671926127,7.673861546209082e-13
16,summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,2.0,32.0,18.0,10.65685424949238,237.8066590799308,65.20594304493108,48.66426393514428,35.138696290076496,16.664263935144277,3.138696290076494,6.71919186995043,-5.148182037112292,13.52556764506778,7.673861546209082e-13
17,summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,2.0,32.0,18.0,10.65685424949238,237.8011684366671,65.37122004879599,48.663839116346935,35.15171984569287,16.663839116346935,3.151719845692871,6.727439277633371,-5.161205592728663,13.512119270654068,7.673861546209082e-13
18,summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,2.0,32.0,18.0,10.65685424949238,237.05330025680263,148.93024911600926,48.60597274428381,41.72919906952857,16.605972744283804,9.729199069528566,10.357588461262305,-11.738684816564366,6.876773674755235,7.673861546209082e-13
19,winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,5.0,-5.0,-18.0,13.94427190999916,237.7649678703386,73.76100987124427,9.441534138487556,-1.2237802016007562,14.441534138487556,3.776219798399244,6.507859084608062,-4.815985362873822,10.665314340088312,9.094947017729282e-13
20,winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,5.0,-5.0,-18.0,13.94427190999916,237.64375573299333,73.88937206676226,9.433703786245474,-1.215407426741732,14.433703786245474,3.784592573258269,6.51294166960365,-4.824358137732847,10.649111212987206,9.094947017729282e-13
21,winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,5.0,-5.0,-18.0,13.94427190999916,237.42999777423765,99.91224566694264,9.419894779831791,0.4809798595590678,14.419894779831791,5.480979859559069,7.5884316486974255,-6.520745424033646,8.938914920272726,9.094947017729282e-13
22,spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,5.0,18.0,5.0,13.94427190999916,237.81145675266828,67.51494650799361,31.805825954183437,20.996965088581128,13.805825954183431,2.9969650885811294,5.822493520900556,-4.304423754537815,10.808860865602306,9.379164112033322e-13
23,spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,5.0,18.0,5.0,13.94427190999916,237.8088524421911,67.49548848360463,31.805661893131173,20.995725724457213,13.805661893131171,2.995725724457212,5.822278772180027,-4.3031843904139,10.80993616867396,9.379164112033322e-13
24,spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,5.0,18.0,5.0,13.94427190999916,237.1977021935532,128.87734005299205,31.76716100326473,24.90197070665972,13.767161003264732,6.9019707066597205,8.134580848599262,-8.209429372616409,6.865190296605011,9.379164112033322e-13
25,summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,5.0,32.0,18.0,13.94427190999916,237.8066590799308,65.20594304493108,45.27773174181743,34.49879953610669,13.277731741817432,2.4987995361066853,5.34427190371898,-4.09133579507359,10.778932205710746,9.379164112033322e-13
26,summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,5.0,32.0,18.0,13.94427190999916,237.8011684366671,65.37122004879599,45.27739157952385,34.50915706996101,13.27739157952385,2.5091570699610184,5.350838974818887,-4.101693328927915,10.768234509562838,9.379164112033322e-13
