case_key,case_label,time_code,selected_local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,convection_h_W_m2_K,visible_points,q_abs_max_W_m2,q_abs_mean_all_W_m2,q_abs_mean_visible_W_m2,surface_temperature_min_C,surface_temperature_mean_C,surface_temperature_max_C,surface_temperature_mean_visible_C,deltaT_air_min_C,deltaT_air_mean_C,deltaT_air_max_C,deltaT_air_mean_visible_C,deltaT_aperture_mean_min_C,deltaT_aperture_mean_max_C,max_abs_thermal_balance_residual_W_m2,case_order,time_order,scenario_id,scenario_label
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,5.0,18.0,5.0,13.94427190999916,42666,237.81145675266828,67.51494650799361,111.83339930060076,16.692541334043312,20.996965088581128,31.805825954183437,23.822493520900554,-1.3074586659566876,2.9969650885811294,13.805825954183431,5.822493520900556,-4.304423754537815,10.808860865602306,9.379164112033322e-13,0,2,spring_equinox__evening,spring equinox / evening
spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,10.0,18.0,5.0,17.64911064067352,42666,237.81145675266828,67.51494650799361,111.83339930060076,16.943416557346836,20.42751962898126,29.190101693830456,22.71456961555758,-1.0565834426531635,2.427519628981258,11.190101693830456,4.714569615557578,-3.484103071634422,8.762582064849198,1.1368683772161605e-12,0,2,spring_equinox__evening,spring equinox / evening
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,0.0,32.0,18.0,5.0,41749,237.8011684366671,65.37122004879599,110.66085976930128,28.33829602487356,37.58537769361051,61.39212519861337,43.99182072665435,-3.661703975126443,5.585377693610504,29.39212519861337,11.991820726654348,-9.247081668736952,23.80674750500286,4.547473508864641e-13,1,0,summer_solstice__morning,summer solstice / morning
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,2.0,32.0,18.0,10.65685424949238,41749,237.8011684366671,65.37122004879599,110.66085976930128,29.990514252964203,35.15171984569287,48.663839116346935,38.72743927763337,-2.0094857470357965,3.151719845692871,16.663839116346935,6.727439277633371,-5.161205592728663,13.512119270654068,7.673861546209082e-13,1,0,summer_solstice__morning,summer solstice / morning
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,5.0,32.0,18.0,13.94427190999916,41749,237.8011684366671,65.37122004879599,110.66085976930128,30.407463741033094,34.50915706996101,45.27739157952385,37.350838974818885,-1.592536258966902,2.5091570699610184,13.27739157952385,5.350838974818887,-4.101693328927915,10.768234509562838,9.379164112033322e-13,1,0,summer_solstice__morning,summer solstice / morning
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,10.0,32.0,18.0,17.64911064067352,41749,237.8011684366671,65.37122004879599,110.66085976930128,30.709177027331293,34.039165047636224,42.79559140081528,36.34620410244711,-1.2908229726687068,2.039165047636224,10.795591400815283,4.346204102447113,-3.3299880203049312,8.756426353179059,1.1652900866465645e-12,1,0,summer_solstice__morning,summer solstice / morning
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,0.0,32.0,18.0,5.0,67082,237.05330025680263,148.93024911600926,156.90270856229276,28.33829602487356,49.2909031614396,61.2930245438082,50.412527624446206,-3.661703975126443,17.290903161439605,29.2930245438082,18.41252762444621,-20.952607136566044,12.0021213823686,4.547473508864641e-13,1,1,summer_solstice__axis,summer solstice / axis
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,2.0,32.0,18.0,10.65685424949238,67082,237.05330025680263,148.93024911600926,156.90270856229276,29.990514252964203,41.72919906952857,48.60597274428381,42.3575884612623,-2.0094857470357965,9.729199069528566,16.605972744283804,10.357588461262305,-11.738684816564366,6.876773674755235,7.673861546209082e-13,1,1,summer_solstice__axis,summer solstice / axis
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,5.0,32.0,18.0,13.94427190999916,67082,237.05330025680263,148.93024911600926,156.90270856229276,30.407463741033094,39.74219539897796,45.23105745150144,40.24189757517545,-1.592536258966902,7.742195398977956,13.231057451501442,8.241897575175445,-9.334731657944856,5.488862052523487,9.379164112033322e-13,1,1,summer_solstice__axis,summer solstice / axis
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,10.0,32.0,18.0,17.64911064067352,67082,237.05330025680263,148.93024911600926,156.90270856229276,30.709177027331293,38.29038651124928,42.75781021813782,38.69622001735746,-1.2908229726687068,6.29038651124928,10.75781021813782,6.696220017357469,-7.581209483917988,4.467423706888539,1.1652900866465645e-12,1,1,summer_solstice__axis,summer solstice / axis
