case_key,case_label,time_code,selected_local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,convection_h_W_m2_K,visible_points,q_abs_max_W_m2,q_abs_mean_all_W_m2,q_abs_mean_visible_W_m2,surface_temperature_min_C,surface_temperature_mean_C,surface_temperature_max_C,surface_temperature_mean_visible_C,deltaT_air_min_C,deltaT_air_mean_C,deltaT_air_max_C,deltaT_air_mean_visible_C,deltaT_aperture_mean_min_C,deltaT_aperture_mean_max_C,max_abs_thermal_balance_residual_W_m2
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,5.0,18.0,5.0,13.94427190999916,42938,237.8088524421911,68.27663365315402,112.37865131513703,16.692541334043312,21.045431134827655,31.805661893131173,23.857099089198,-1.3074586659566876,3.0454311348276564,13.805661893131173,5.857099089198,-4.352889800784343,10.760230758303518,9.379164112033322e-13
spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,10.0,18.0,5.0,17.64911064067352,42938,237.8088524421911,68.27663365315402,112.37865131513703,16.943416557346836,20.466776065668878,29.189968342136922,22.74262440428064,-1.0565834426531637,2.466776065668879,11.189968342136922,4.742624404280642,-3.5233595083220415,8.723192276468044,1.1368683772161603e-12
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,0.0,32.0,18.0,5.0,68471,237.0442341483457,151.6226481450872,156.4987719232631,28.338296024873557,49.67155735556183,61.29182300363709,50.35762651550072,-3.661703975126443,17.671557355561827,29.29182300363709,18.35762651550072,-21.333261330688273,11.62026564807526,4.547473508864641e-13
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,2.0,32.0,18.0,10.65685424949238,68471,237.0442341483457,151.6226481450872,156.4987719232631,29.990514252964203,41.941739079267116,48.60527121967698,42.32608569414814,-2.0094857470357965,9.941739079267116,16.60527121967698,10.326085694148146,-11.951224826302912,6.663532140409863,7.673861546209082e-13
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,5.0,32.0,18.0,13.94427190999916,68471,237.0442341483457,151.6226481450872,156.4987719232631,30.407463741033098,39.91111364155004,45.23049574441177,40.216747224832574,-1.592536258966902,7.911113641550039,13.230495744411769,8.216747224832572,-9.50364990051694,5.319382102861731,9.379164112033322e-13
summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,10.0,32.0,18.0,17.64911064067352,68471,237.0442341483457,151.6226481450872,156.4987719232631,30.709177027331293,38.42752823985045,42.75735220287561,38.67574733070596,-1.2908229726687068,6.427528239850452,10.757352202875609,6.675747330705956,-7.71835121251916,4.329823963025156,1.1652900866465643e-12
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,0.0,32.0,18.0,5.0,42500,237.77043622067796,67.29031574272692,111.89667022319388,28.338296024873557,37.85478639273752,61.38805343185936,44.16321187823944,-3.661703975126443,5.854786392737521,29.388053431859362,12.16321187823944,-9.516490367863966,23.53326703912184,4.547473508864641e-13
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,2.0,32.0,18.0,10.65685424949238,42500,237.77043622067796,67.29031574272692,111.89667022319388,29.990514252964203,35.30288297145224,48.66146131609014,38.82442094571021,-2.0094857470357965,3.3028829714522416,16.66146131609014,6.824420945710207,-5.312368718488038,13.358578344637898,7.673861546209082e-13
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,5.0,32.0,18.0,13.94427190999916,42500,237.77043622067796,67.29031574272692,111.89667022319388,30.407463741033098,34.62939323493606,45.275487621168054,37.428085461564955,-1.592536258966902,2.6293932349360585,13.275487621168054,5.428085461564955,-4.221929493902962,10.646094386231994,9.379164112033322e-13
summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,10.0,32.0,18.0,17.64911064067352,42500,237.77043622067796,67.29031574272692,111.89667022319388,30.709177027331293,34.13682888422889,42.794038884143674,36.40899913750833,-1.2908229726687068,2.1368288842288936,10.794038884143674,4.408999137508331,-3.4276518568975973,8.657209999914784,1.1652900866465643e-12
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,0.0,32.0,18.0,5.0,42588,237.8011684366671,67.51262889917868,112.0343764016074,28.338296024873557,37.886014644996415,61.39212519861337,44.182334675196245,-3.661703975126443,5.886014644996411,29.39212519861337,12.182334675196243,-9.547718620122858,23.506110553616956,4.547473508864641e-13
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,2.0,32.0,18.0,10.65685424949238,42588,237.8011684366671,67.51262889917868,112.0343764016074,29.990514252964203,35.32039734904264,48.663839116346935,38.83523173322043,-2.0094857470357965,3.320397349042651,16.663839116346935,6.835231733220429,-5.32988309607844,13.343441767304292,7.673861546209082e-13
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,5.0,32.0,18.0,13.94427190999916,42588,237.8011684366671,67.51262889917868,112.0343764016074,30.407463741033098,34.6433233277533,45.27739157952385,37.43669508724041,-1.592536258966902,2.643323327753298,13.27739157952385,5.436695087240403,-4.235859586720203,10.63406825177055,9.379164112033322e-13
summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,10.0,32.0,18.0,17.64911064067352,42588,237.8011684366671,67.51262889917868,112.0343764016074,30.709177027331293,34.148143384029204,42.79559140081528,36.41599747738557,-1.2908229726687068,2.1481433840292015,10.795591400815283,4.415997477385563,-3.438966356697911,8.647448016786079,1.1652900866465643e-12
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,0.0,-5.0,-18.0,5.0,56234,237.39755274513183,106.59196026803741,133.96119088137084,-7.5192255767722145,8.948238315426984,28.667071616186604,13.176529227321288,-2.5192255767722145,13.948238315426984,33.667071616186604,18.17652922732129,-16.4674638921992,19.71883330075962,3.979039320256561e-13
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,2.0,-5.0,-18.0,10.65685424949238,56234,237.39755274513183,106.59196026803741,133.96119088137084,-6.325765648139736,2.5174171414981203,13.295220308743637,4.788049077685854,-1.3257656481397362,7.517417141498121,18.295220308743637,9.788049077685853,-8.843182789637856,10.777803167245517,7.389644451905042e-13
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,5.0,-5.0,-18.0,13.94427190999916,56234,237.39755274513183,106.59196026803741,133.96119088137084,-6.039765564474578,0.9167911323623239,9.417798776626114,2.703000936851211,-1.0397655644745782,5.916791132362324,14.417798776626114,7.703000936851211,-6.956556696836902,8.50100764426379,9.094947017729282e-13
winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,10.0,-5.0,-18.0,17.64911064067352,56234,237.39755274513183,106.59196026803741,133.96119088137084,-5.836456905055229,-0.23055787659535618,6.630178614031138,1.2088484624865534,-0.8364569050552291,4.7694421234046445,11.630178614031138,6.208848462486554,-5.605899028459873,6.860736490626494,1.1368683772161603e-12
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,0.0,-5.0,-18.0,5.0,45212,237.75618338733668,74.03596806403016,115.72909782777145,-7.5192255767722145,3.947412419762084,28.719264371142458,10.404814658764113,-2.5192255767722145,8.947412419762083,33.71926437114246,15.404814658764115,-11.466637996534299,24.771851951380373,3.979039320256561e-13
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,2.0,-5.0,-18.0,10.65685424949238,45212,237.75618338733668,74.03596806403016,115.72909782777145,-6.325765648139736,-0.17919599675048403,13.324481101342599,3.2822259685247026,-1.3257656481397362,4.820804003249515,18.3244811013426,8.282225968524703,-6.146569651389252,13.503677098093084,7.389644451905042e-13
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,5.0,-5.0,-18.0,13.94427190999916,45212,237.75618338733668,74.03596806403016,115.72909782777145,-6.039765564474578,-1.2058360709845175,9.440966659564765,1.5163765901176334,-1.0397655644745782,3.7941639290154825,14.440966659564765,6.516376590117632,-4.833929493490061,10.646802730549283,9.094947017729282e-13
winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,10.0,-5.0,-18.0,17.64911064067352,45212,237.75618338733668,74.03596806403016,115.72909782777145,-5.836456905055229,-1.9416614241617638,6.648916377982687,0.2516807800987984,-0.8364569050552291,3.058338575838236,11.648916377982687,5.251680780098798,-3.8947954808934653,8.59057780214445,1.1368683772161603e-12
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,0.0,-5.0,-18.0,5.0,45156,237.7649678703386,73.88678887580411,115.63914053989957,-7.5192255767722145,3.924446449996833,28.72054271475497,10.391099366709247,-2.5192255767722145,8.924446449996832,33.72054271475497,15.391099366709247,-11.443672026769047,24.796096264758138,3.979039320256561e-13
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,2.0,-5.0,-18.0,10.65685424949238,45156,237.7649678703386,73.88678887580411,115.63914053989957,-6.325765648139736,-0.19156021787871516,13.3251978155306,3.2747902109451505,-1.3257656481397362,4.808439782121284,18.3251978155306,8.27479021094515,-6.134205430261021,13.516758033409316,7.389644451905042e-13
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,5.0,-5.0,-18.0,13.94427190999916,45156,237.7649678703386,73.88678887580411,115.63914053989957,-6.039765564474578,-1.215566165824593,9.441534138487555,1.5105188739342799,-1.0397655644745782,3.7844338341754065,14.441534138487555,6.51051887393428,-4.824199398649985,10.657100304312149,9.094947017729282e-13
winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,10.0,-5.0,-18.0,17.64911064067352,45156,237.7649678703386,73.88678887580411,115.63914053989957,-5.836456905055229,-1.9495040347585653,6.649375346711054,0.24695659929582323,-0.8364569050552291,3.0504959652414345,11.649375346711054,5.246956599295824,-3.886952870296664,8.598879381469619,1.1084466677857563e-12
